  -8.440    8.771 11J     12-21    249
  -8.440   -8.771 17J     19-15    390
  -5.064    8.771 11K      13-9    258
  -5.064   -8.771 17K     20-11    407
  -1.688    8.771 11L     13-12    261
  -1.688   -8.771 17L      18-8    362
   1.688    8.771 11M     13-15    264
   1.688   -8.771 17M     18-12    366
   5.064    8.771 11N      13-5    254
   5.064   -8.771 17N     16-13    325
   8.440    8.771 11O     12-16    244
   8.440   -8.771 17O      20-8    404
  11.816    8.771 11P     10-16    202
  11.816   -8.771 17P     20-14    410
  15.192    8.771 11Q      12-3    231
  15.192   -8.771 17Q     18-20    374
  18.568    8.771 11R     11-11    218
  18.568   -8.771 17R      19-9    384
  21.944    8.771 11S     10-20    206
  21.944   -8.771 17S     18-14    368
  25.320    8.771 11T     10-14    200
  25.320   -8.771 17T      18-2    356
  28.696    8.771 11U      10-7    193
  28.696   -8.771 17U     17-16    349
  32.072    8.771 11V      9-20    185
  32.072   -8.771 17V     17-13    346
  35.448    8.771 11W       9-2    167
  35.448   -8.771 17W      16-5    317
  38.824    8.771 11X      13-1    250
  38.824   -8.771 17X     16-17    329
 -37.136   11.695 10A     12-13    241
 -37.136  -11.695 18A      17-3    336
 -33.760   11.695 10B      7-10    133
 -33.760  -11.695 18B      19-6    381
 -30.384   11.695 10C      7-14    137
 -30.384  -11.695 18C     20-10    406
 -27.008   11.695 10D      8-10    154
 -27.008  -11.695 18D     21-14    431
 -23.632   11.695 10E      8-18    162
 -23.632  -11.695 18E      22-6    444
 -20.256   11.695 10F      10-8    194
 -20.256  -11.695 18F     21-19    436
 -16.880   11.695 10G     10-15    201
 -16.880  -11.695 18G     22-19    457
 -13.504   11.695 10H     10-21    207
 -13.504  -11.695 18H      21-8    425
 -10.128   11.695 10I      11-6    213
 -10.128  -11.695 18I     22-11    449
  -6.752   11.695 10J     11-12    219
  -6.752  -11.695 18J      23-8    467
  -3.376   11.695 10K     11-14    221
  -3.376  -11.695 18K     20-18    414
   0.000   11.695 10L      12-2    230
